,item_category_name,item_category_id
0,PC - Headset / Headphones,0
1,Accessories - PS2.,1
2,Accessories - PS3,2
3,Accessories - PS4.,3
4,Accessories - PSP.,4
5,Accessories - Psvita.,5
6,Accessories - Xbox 360,6
7,Accessories - Xbox One,7
8,Tickets (digit),8
9,Delivery of goods,9
10,Gaming Consoles - PS2,10
11,Gaming Consoles - PS3,11
12,Gaming Consoles - PS4,12
13,Gaming Consoles - PSP,13
14,Gaming Consoles - Psvita,14
15,Gaming Consoles - Xbox 360,15
16,Gaming Consoles - Xbox One,16
17,Gaming consoles - Other,17
18,Games - PS2.,18
19,Games - PS3,19
20,Games - PS4.,20
21,Games - PSP.,21
22,Games - psvita.,22
23,Games - Xbox 360,23
24,Games - Xbox One,24
25,Games - Accessories for games,25
26,Android games - digit,26
27,MAC games - digit,27
28,PC Games - Additional Editions,28
29,PC Games - Collectible Editions,29
30,PC Games - Standard Editions,30
31,PC games - digit,31
32,"Payment cards (cinema, music, games)",32
33,Payment cards - Live!,33
34,Payment cards - Live! (Numeral),34
35,Payment cards - PSN,35
36,Payment maps - Windows (digit),36
37,Movie - Blu-Ray,37
38,Cinema - Blu-ray 3D,38
39,Cinema - Blu-Ray 4K,39
40,Cinema - DVD.,40
41,Cinema - collectivity,41
42,"Books - Artbooks, Encyclopedia",42
43,Books - audiobooks,43
44,Books - Audiobooks (Figure),44
45,Books - Audiobooks 1C,45
46,Books - Business Literature,46
47,"Books - Comics, Manga",47
48,Books - Computer Literature,48
49,Books - Methodological materials 1C,49
50,Books - postcards,50
51,Books - Cognitive Literature,51
52,Books - guidebooks,52
53,Books - Fiction,53
54,Books - digit,54
55,Music - Local CD CD,55
56,Music - corporate production CD,56
57,Music - mp3,57
58,Music - Vinyl,58
59,Music - Music Video,59
60,Music - Gift Editions,60
61,Gifts - attributes,61
62,"Gifts - Gadgets, Robots, Sports",62
63,Gifts - Soft Toys,63
64,Gifts - Board Games,64
65,Gifts - Board Games (Compact),65
66,"Gifts - Postcards, Stickers",66
67,Gifts - development,67
68,"Gifts - Certificates, Services",68
69,Gifts - Souvenirs,69
70,Gifts - Souvenirs (in the hitch),70
71,"Gifts - Bags, Albums, Rugs D / Mouse",71
72,Gifts - Figures,72
73,Programs - 1C: Enterprise 8,73
74,Programs - Mac (digit),74
75,Programs - for home and office,75
76,Programs - for home and office (digit),76
77,Programs - Educational,77
78,Programs - training (digit),78
79,Service,79
80,Service - Tickets,80
81,Clean media (spire),81
82,Clean media (piece),82
83,Power elements,83
