,PARAMS,TRAIN_SCORE,VAL_SCORE
1,"{'lambda': 0.0510204081632653, 'gamma': 0.5, 'alpha': 0.4081632653061224, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8420408163265306, 'subsample': 0.7651020408163265, 'min_child_weight': 0, 'eta': 0.010204081632653062, 'learning_rate': 0.014285714285714287, 'n_estimators': 400, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8440886735916138,0.8019803166389465
2,"{'lambda': 0.336734693877551, 'gamma': 0.07142857142857142, 'alpha': 0.01020408163265306, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9840816326530613, 'subsample': 0.723673469387755, 'min_child_weight': 4, 'eta': 0.0326530612244898, 'learning_rate': 0.07714285714285715, 'n_estimators': 400, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.7844635844230652,0.8049607872962952
3,"{'lambda': 0.07142857142857142, 'gamma': 0.4693877551020408, 'alpha': 0.0, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9485714285714286, 'subsample': 0.7651020408163265, 'min_child_weight': 7, 'eta': 0.004081632653061225, 'learning_rate': 0.037142857142857144, 'n_estimators': 100, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8872243762016296,0.8198109865188599
4,"{'lambda': 0.11224489795918366, 'gamma': 0.0510204081632653, 'alpha': 0.26530612244897955, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8716326530612245, 'subsample': 0.806530612244898, 'min_child_weight': 7, 'eta': 0.06326530612244899, 'learning_rate': 0.03142857142857143, 'n_estimators': 350, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8427047729492188,0.8026437163352966
5,"{'lambda': 0.09183673469387754, 'gamma': 0.31632653061224486, 'alpha': 0.39795918367346933, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9189795918367347, 'subsample': 0.8538775510204082, 'min_child_weight': 0, 'eta': 0.1, 'learning_rate': 0.05428571428571429, 'n_estimators': 350, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8465012311935425,0.8015182614326477
6,"{'lambda': 0.4897959183673469, 'gamma': 0.36734693877551017, 'alpha': 0.4183673469387755, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8006122448979591, 'subsample': 0.723673469387755, 'min_child_weight': 2, 'eta': 0.08775510204081634, 'learning_rate': 0.025714285714285717, 'n_estimators': 200, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8642865419387817,0.8072331547737122
7,"{'lambda': 0.11224489795918366, 'gamma': 0.12244897959183673, 'alpha': 0.1530612244897959, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7295918367346939, 'subsample': 0.7532653061224489, 'min_child_weight': 6, 'eta': 0.05714285714285715, 'learning_rate': 0.025714285714285717, 'n_estimators': 250, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8593423366546631,0.806428849697113
8,"{'lambda': 0.01020408163265306, 'gamma': 0.08163265306122448, 'alpha': 0.1530612244897959, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7651020408163265, 'subsample': 0.9781632653061225, 'min_child_weight': 9, 'eta': 0.05918367346938776, 'learning_rate': 0.03142857142857143, 'n_estimators': 300, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8483254909515381,0.8018239140510559
9,"{'lambda': 0.12244897959183673, 'gamma': 0.36734693877551017, 'alpha': 0.3877551020408163, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7355102040816326, 'subsample': 0.8124489795918367, 'min_child_weight': 4, 'eta': 0.0979591836734694, 'learning_rate': 0.06714285714285714, 'n_estimators': 350, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8419557213783264,0.8001828193664551
10,"{'lambda': 0.22448979591836732, 'gamma': 0.13265306122448978, 'alpha': 0.08163265306122448, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8361224489795918, 'subsample': 0.8242857142857143, 'min_child_weight': 6, 'eta': 0.028571428571428574, 'learning_rate': 0.01, 'n_estimators': 100, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.9523438811302185,0.8638832569122314
11,"{'lambda': 0.09183673469387754, 'gamma': 0.31632653061224486, 'alpha': 0.0, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9426530612244898, 'subsample': 0.936734693877551, 'min_child_weight': 1, 'eta': 0.09183673469387756, 'learning_rate': 0.07, 'n_estimators': 450, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8046835660934448,0.7984155416488647
12,"{'lambda': 0.0510204081632653, 'gamma': 0.0510204081632653, 'alpha': 0.18367346938775508, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9663265306122448, 'subsample': 0.7710204081632652, 'min_child_weight': 7, 'eta': 0.1, 'learning_rate': 0.015714285714285715, 'n_estimators': 450, 'max_depth': 8, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8149977326393127,0.7990508079528809
13,"{'lambda': 0.21428571428571427, 'gamma': 0.08163265306122448, 'alpha': 0.02040816326530612, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7295918367346939, 'subsample': 0.8242857142857143, 'min_child_weight': 8, 'eta': 0.06938775510204082, 'learning_rate': 0.015714285714285715, 'n_estimators': 250, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8562819361686707,0.8039999008178711
14,"{'lambda': 0.04081632653061224, 'gamma': 0.04081632653061224, 'alpha': 0.13265306122448978, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9722448979591837, 'subsample': 0.99, 'min_child_weight': 9, 'eta': 0.0489795918367347, 'learning_rate': 0.014285714285714287, 'n_estimators': 300, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.897805392742157,0.8268413543701172
15,"{'lambda': 0.3877551020408163, 'gamma': 0.2857142857142857, 'alpha': 0.2857142857142857, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9248979591836735, 'subsample': 0.7, 'min_child_weight': 1, 'eta': 0.014285714285714287, 'learning_rate': 0.06285714285714286, 'n_estimators': 50, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8779422044754028,0.812745988368988
16,"{'lambda': 0.12244897959183673, 'gamma': 0.36734693877551017, 'alpha': 0.2346938775510204, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7059183673469387, 'subsample': 0.9189795918367347, 'min_child_weight': 3, 'eta': 0.07959183673469389, 'learning_rate': 0.014285714285714287, 'n_estimators': 350, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.894848108291626,0.8242541551589966
17,"{'lambda': 0.4693877551020408, 'gamma': 0.02040816326530612, 'alpha': 0.3469387755102041, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7710204081632652, 'subsample': 0.7177551020408163, 'min_child_weight': 1, 'eta': 0.06938775510204082, 'learning_rate': 0.042857142857142864, 'n_estimators': 450, 'max_depth': 7, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8038299679756165,0.8000448942184448
18,"{'lambda': 0.42857142857142855, 'gamma': 0.1530612244897959, 'alpha': 0.01020408163265306, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7355102040816326, 'subsample': 0.7059183673469387, 'min_child_weight': 4, 'eta': 0.1, 'learning_rate': 0.07714285714285715, 'n_estimators': 200, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8543756008148193,0.805069625377655
19,"{'lambda': 0.0, 'gamma': 0.04081632653061224, 'alpha': 0.07142857142857142, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8775510204081632, 'subsample': 0.7651020408163265, 'min_child_weight': 5, 'eta': 0.0673469387755102, 'learning_rate': 0.03285714285714286, 'n_estimators': 100, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.876319169998169,0.8121777772903442
20,"{'lambda': 0.17346938775510204, 'gamma': 0.02040816326530612, 'alpha': 0.16326530612244897, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8657142857142857, 'subsample': 0.7946938775510204, 'min_child_weight': 0, 'eta': 0.03469387755102041, 'learning_rate': 0.07428571428571429, 'n_estimators': 150, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8611379861831665,0.8089783191680908
21,"{'lambda': 0.2040816326530612, 'gamma': 0.0510204081632653, 'alpha': 0.32653061224489793, 'objective': 'reg:squarederror', 'colsample_bytree': 0.8242857142857143, 'subsample': 0.8124489795918367, 'min_child_weight': 5, 'eta': 0.036734693877551024, 'learning_rate': 0.03571428571428572, 'n_estimators': 200, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8555412888526917,0.8041501641273499
22,"{'lambda': 0.16326530612244897, 'gamma': 0.1530612244897959, 'alpha': 0.4081632653061224, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9189795918367347, 'subsample': 0.8479591836734693, 'min_child_weight': 4, 'eta': 0.06938775510204082, 'learning_rate': 0.07571428571428572, 'n_estimators': 200, 'max_depth': 4, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8716206550598145,0.812333881855011
23,"{'lambda': 0.36734693877551017, 'gamma': 0.01020408163265306, 'alpha': 0.336734693877551, 'objective': 'reg:squarederror', 'colsample_bytree': 0.9130612244897959, 'subsample': 0.936734693877551, 'min_child_weight': 9, 'eta': 0.07142857142857144, 'learning_rate': 0.025714285714285717, 'n_estimators': 100, 'max_depth': 8, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8563686013221741,0.8039072155952454
24,"{'lambda': 0.32653061224489793, 'gamma': 0.4693877551020408, 'alpha': 0.2346938775510204, 'objective': 'reg:squarederror', 'colsample_bytree': 0.806530612244898, 'subsample': 0.9308163265306122, 'min_child_weight': 5, 'eta': 0.1, 'learning_rate': 0.018571428571428572, 'n_estimators': 450, 'max_depth': 6, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.8505813479423523,0.8024089336395264
25,"{'lambda': 0.21428571428571427, 'gamma': 0.5, 'alpha': 0.17346938775510204, 'objective': 'reg:squarederror', 'colsample_bytree': 0.7295918367346939, 'subsample': 0.7118367346938775, 'min_child_weight': 8, 'eta': 0.04693877551020409, 'learning_rate': 0.03428571428571429, 'n_estimators': 50, 'max_depth': 5, 'tree_method': 'gpu_hist', 'verbosity': 2, 'nthread': 0}",0.9225240349769592,0.8412551879882812
